chinese,english
一,yī (one)
二,èr (two)
三,sān (three)
四,sì (four)
五,wǔ (five)
六,liù (six)
七,qī (seven)
八,bā (eight)
九,jiǔ (nine)
十,shí (ten)
人,rén (person)
我,wǒ (I)
你,nǐ (you (singular))
他,tā (he/she/it (masculine/feminine/neuter))
们,men (plural marker)
是,shì (to be)
不,bù (not)
有,yǒu (to have, there is/are)
没有,méi yǒu (don't have, there isn't/aren't)
在,zài (at, in, on)
这,zhè (this)
那,nà (that)
个,ge (classifier for objects)
的,de (possessive particle)
很,hěn (very)
好,hǎo (good)
可以,kěyǐ (can, may)
请,qǐng (please)
谢谢,xièxie (thank you)
对不起,duìbùqǐ (I'm sorry, excuse me)
你好,nǐ hǎo (hello)
再见,zài jiàn (goodbye)
吃,chī (to eat)
喝,hē (to drink)
睡,shuì (to sleep)
工作,gōngzuò (work)
学习,xuéxí (to study)
看,kàn (to see, look)
说,shuō (to say, speak)
去,qù (to go)
来,lái (to come)
家,jiā (home)
学校,xuéxiào (school)
医院,yīyuàn (hospital)
水,shuǐ (water)
火,huǒ (fire)
山,shān (mountain)
天,tiān (sky)
地,dì (earth)
太阳,tàiyáng (sun)
月亮,yuèliang (moon)
星星,xīngxīng (stars)
风,fēng (wind)
雨,yǔ (rain)
雪,xuě (snow)
电话,diànhuà (phone)
电脑,diànnao (computer)
书,shū (book)
衣服,yīfú (clothes)
鞋子,xiézi (shoes)
帽子,màozi (hat)
电饭煲,diànfànbao (rice cooker)
冰箱,bīngxiāng (refrigerator)
洗衣机,xǐyījī (washing machine)
电话卡,diànhuàkā (phone card)
公交卡,gōngjiāokā (public transportation card)
银行卡,yīnhángkā (bank card)
手机,shǒujī (smartphone)
电脑游戏,diànnaòyóuxì (computer game)
学习中文,xuéxí zhōngwén (to learn Chinese)
快乐,kuàilè (happy)
幸福,xìngfú (happy, fortunate)
健康,jiànkāng (healthy)
